Day,Day,Year,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sosaline,sst,t2m,surface_pressure,sea_ice_extent
1/1/1979,1/1/1979,1979,1.20011087576,-1.0380087221,-1.2862342622,-1.05877004526,-0.722018406109,0.950777399709,0.796560304078,-0.844572223797,-1.34640855144,-0.395271416829,0.966657709032
1/2/1979,1/2/1979,1979,1.67740388332,-1.05780195894,-1.33796632031,-1.05931922352,-1.12984612923,0.364464258151,0.796560304078,-0.846344908419,-1.34985636819,-0.408576036667,1.09328605955
1/3/1979,1/3/1979,1979,0.895441434192,-1.04402025546,-1.25517174341,-1.06121937301,-0.405638341013,1.05515511833,0.796560304078,-0.841017749666,-1.34168009236,0.489678638531,1.09328605955
1/4/1979,1/4/1979,1979,0.790689346125,-1.01593595865,-1.13213970019,-1.0589127516,0.978621289942,2.21341425532,0.796560304078,-0.83426795229,-1.35673648759,0.522355939023,1.07023746607
1/5/1979,1/5/1979,1979,1.84629038235,-0.982347919861,-1.16225153814,-1.06001726237,-0.952573484282,0.179467499511,0.796560304078,-0.829259649147,-1.30053781447,-0.700023636801,1.07023746607
1/6/1979,1/6/1979,1979,0.436365667309,-0.947374000443,-1.16591694554,-1.05786637584,-0.703485828085,0.48372468211,0.796560304078,-0.824882720713,-1.31246524444,-0.410091721548,1.0721936277
1/7/1979,1/7/1979,1979,0.242408737735,-0.931570899681,-1.22863264153,-1.05807108178,-0.670275734827,0.794967647958,0.796560304078,-0.825751745283,-1.3363850575,-0.314763698566,1.0721936277
1/8/1979,1/8/1979,1979,0.416218005121,-0.971069695207,-1.26078502711,-1.05622933183,-1.18786358025,0.319793352319,0.796560304078,-0.823956421482,-1.36616688972,0.123297052839,1.08437131008
1/9/1979,1/9/1979,1979,0.363683180054,-0.990686889501,-1.24989938195,-1.05521803773,-1.00162013041,0.618045598064,0.796560304078,-0.829188163478,-1.37235728608,0.524500706545,1.08437131008
1/10/1979,1/10/1979,1979,0.951091294755,-1.01515879437,-1.18588731845,-1.05418646741,-1.11122372782,0.517760208814,0.796560304078,-0.839995787599,-1.33225722911,0.838423013246,1.15252133817
1/11/1979,1/11/1979,1979,0.925755600452,-1.05222345285,-1.14980098214,-1.05465472825,-1.09854519167,0.511624457526,0.796560304078,-0.847951736448,-1.29352228322,1.09092224811,1.15252133817
1/12/1979,1/12/1979,1979,0.490527006712,-1.04563275705,-1.11599177938,-1.05379291983,-0.51314890077,1.10102738511,0.796560304078,-0.85456815953,-1.28374551088,1.35030593148,1.19451627132
1/13/1979,1/13/1979,1979,1.22408979874,-1.02295476252,-1.12816638372,-1.05282462545,-0.425882080449,0.965891829839,0.796560304078,-0.853268067768,-1.20858450944,1.09933180968,1.19451627132
1/14/1979,1/14/1979,1979,0.867964706159,-0.987473232808,-1.10184715873,-1.04781566147,-0.234284672346,1.16759750098,0.796560304078,-0.848358503435,-1.19815276527,0.941219259114,1.20236120168
1/15/1979,1/15/1979,1979,0.98600985595,-0.974340471865,-1.07390429975,-1.0511191795,-0.322374559605,1.04752806554,0.796560304078,-0.845192709555,-1.2061185098,0.574052264042,1.20236120168
1/16/1979,1/16/1979,1979,2.04743589837,-0.973279807203,-1.10343182961,-1.0481891569,0.359449517686,1.51269720785,0.796560304078,-0.844206982478,-1.15914915894,-0.453350200463,1.24772694092
1/17/1979,1/17/1979,1979,2.20085994516,-0.941157933037,-1.05614858162,-1.04285069105,-1.19275536803,0.270675128073,0.796560304078,-0.839899140452,-1.10792635352,-0.896603803749,1.24772694092
1/18/1979,1/18/1979,1979,1.36691879637,-0.912367166801,-1.09447287586,-1.0396508788,-1.48659734567,-0.151747044204,0.796560304078,-0.834721104986,-1.08293960468,-0.588589411276,1.25314395661
1/19/1979,1/19/1979,1979,1.12382399551,-0.937507295416,-1.1604274719,-1.03734848109,-0.996490241659,0.385623870608,0.796560304078,-0.837802740179,-1.17814193984,0.00992108583124,1.25314395661
1/20/1979,1/20/1979,1979,0.952149085908,-0.990903528419,-1.24407062341,-1.03917385655,-1.65326281872,-0.198112519332,0.796560304078,-0.844391110366,-1.2502739496,1.03689303356,1.31213244846
1/21/1979,1/21/1979,1979,-0.0518020403017,-1.01295159233,-1.22158300359,-1.03799819629,-0.908143800528,0.450151218472,0.796560304078,-0.853440814546,-1.33914618719,1.70668958321,1.31213244846
1/22/1979,1/22/1979,1979,-0.162941281107,-0.991043504239,-1.24538953805,-1.03449165002,-1.5265497689,-0.165738591152,0.796560304078,-0.863329767855,-1.35234006375,1.41149778106,1.30293833514
1/23/1979,1/23/1979,1979,0.0147715631189,-1.0307827081,-1.26245293667,-1.03017704499,-1.49453246476,0.0356152121401,0.796560304078,-0.87546848957,-1.39442560096,1.16171055014,1.30293833514
1/24/1979,1/24/1979,1979,0.368127385881,-1.02645772548,-1.30095304026,-1.02438781489,-1.29992195731,0.103661707758,0.796560304078,-0.885903797628,-1.3650768174,1.40016835397,1.32314534646
1/25/1979,1/25/1979,1979,-0.168115399105,-1.07034605249,-1.33781954707,-1.0210659338,-1.30592968103,0.310107277719,0.796560304078,-0.893414037642,-1.43411958023,1.94817763073,1.32314534646
1/26/1979,1/26/1979,1979,-0.61119748091,-1.09027408404,-1.3171490079,-1.01499290285,-1.2989174961,0.346550687929,0.796560304078,-0.898585798118,-1.47912262298,1.89899333067,1.30492031257
